feature,accuracy,balanced_accuracy,f1,auc
number,0.976,0.9760679361811632,0.9775561097256857,0.9976178732772918
question,1.0,1.0,1.0,1.0
color,0.9726666666666667,0.9728528295437552,0.97349709114415,0.9974880544616853
food,0.986,0.9860061973443508,0.9859531772575251,0.9960017706698144
sentiment,0.982,0.9817207709526854,0.9828134945894335,0.9961418530146615
country,0.964,0.9641554248654184,0.96484375,0.9938087127811636
person,0.9986666666666667,0.9986910994764397,0.9986893840104849,1.0
body_part,0.9786666666666667,0.9786123827725677,0.9783491204330176,0.9980852482332548
