h3_unit,country_output_weight,active_rate_country,active_rate_non_country,active_rate_gap,mean_h3_country,mean_h3_non_country,mean_h3_gap,mean_contrib_country,mean_contrib_non_country,mean_contrib_gap,abs_contrib_gap
0,-3.713536262512207,0.710455764075067,0.5145888594164456,0.19586690465862144,0.3592776656150818,0.9199707508087158,-0.560693085193634,-1.3341906070709229,-3.41634464263916,2.0821540355682373,2.0821540355682373
56,-3.332310199737549,0.7171581769436998,0.5,0.21715817694369977,0.3741474747657776,0.9745899438858032,-0.6004424691200256,-1.2467753887176514,-3.247636318206787,2.0008609294891357,2.0008609294891357
5,-3.7886226177215576,0.6380697050938338,0.513262599469496,0.12480710562433772,0.26746535301208496,0.7475149035453796,-0.4800495505332947,-1.0133253335952759,-2.8320517539978027,1.8187264204025269,1.8187264204025269
60,-3.1873068809509277,0.6554959785522788,0.5013262599469496,0.15416971860532924,0.31701603531837463,0.886551022529602,-0.5695349872112274,-1.0104273557662964,-2.8257100582122803,1.8152827024459839,1.8152827024459839
11,-2.7128114700317383,0.6353887399463807,0.5145888594164456,0.12079988052993507,0.33912965655326843,0.93760085105896,-0.5984711945056915,-0.9199947714805603,-2.543534517288208,1.6235397458076477,1.6235397458076477
61,-2.658953905105591,0.6058981233243967,0.513262599469496,0.0926355238549007,0.3155059516429901,0.9144355654716492,-0.5989296138286591,-0.8389157652854919,-2.4314420223236084,1.5925262570381165,1.5925262570381165
9,-4.237557411193848,0.6206434316353887,0.5106100795755968,0.11003335205979192,0.18622516095638275,0.522957980632782,-0.33673281967639923,-0.7891398072242737,-2.216064453125,1.4269246459007263,1.4269246459007263
15,-2.3393445014953613,0.7332439678284183,0.5026525198938993,0.23059144793451902,0.35425466299057007,0.8344489336013794,-0.4801942706108093,-0.8287237882614136,-1.9520634412765503,1.1233396530151367,1.1233396530151367
47,-3.8130264282226562,0.7171581769436998,0.5915119363395226,0.12564624060417717,0.27045828104019165,0.477049320936203,-0.20659103989601135,-1.0312646627426147,-1.8190014362335205,0.7877367734909058,0.7877367734909058
6,-3.8676724433898926,0.6206434316353887,0.5358090185676393,0.08483441306774941,0.18887881934642792,0.378104567527771,-0.18922574818134308,-0.7305212616920471,-1.462384819984436,0.7318635582923889,0.7318635582923889
33,-3.7125630378723145,0.5308310991957105,0.5185676392572944,0.012263459938416044,0.1057332307100296,0.29541489481925964,-0.18968166410923004,-0.3925413191318512,-1.0967464447021484,0.7042051255702972,0.7042051255702972
49,-2.893324613571167,0.7265415549597856,0.5610079575596817,0.16553359740010387,0.3265536427497864,0.5321211218833923,-0.20556747913360596,-0.9448258280754089,-1.5395992994308472,0.5947734713554382,0.5947734713554382
36,-3.127659797668457,0.6447721179624665,0.5517241379310345,0.093047980031432,0.2637607753276825,0.44732609391212463,-0.18356531858444214,-0.8249539732933044,-1.3990837335586548,0.5741297602653503,0.5741297602653503
59,-1.8181638717651367,0.7479892761394102,0.5570291777188329,0.19096009842057737,0.3790024518966675,0.6663023829460144,-0.2872999310493469,-0.6890885233879089,-1.21144700050354,0.5223584771156311,0.5223584771156311
55,-2.3013463020324707,0.7050938337801609,0.5649867374005305,0.14010709637963037,0.3447241187095642,0.5652486085891724,-0.22052448987960815,-0.7933295369148254,-1.300832748413086,0.5075032114982605,0.5075032114982605
54,-2.9752414226531982,0.7667560321715817,0.6458885941644562,0.12086743800712552,0.2538992464542389,0.377034068107605,-0.12313482165336609,-0.7554115056991577,-1.121767282485962,0.3663557767868042,0.3663557767868042
44,-1.8878917694091797,0.7573726541554959,0.5875331564986738,0.16983949765682216,0.22423608601093292,0.40365055203437805,-0.17941446602344513,-0.42333346605300903,-0.7620485424995422,0.3387150764465332,0.3387150764465332
58,-1.102960467338562,0.9959785522788204,0.7175066312997348,0.2784719209790856,0.5719009041786194,0.6740003824234009,-0.1020994782447815,-0.6307840943336487,-0.7433958053588867,0.11261171102523804,0.11261171102523804
