feature,mean_linear_acc,mean_linear_auc,best_nonlinear_acc,best_nonlinear_auc,acc_gap,auc_gap
country,0.5077777777777778,0.49989155247082584,0.962,0.9924006727302465,0.4542222222222222,0.4925091202594206
sentiment,0.9804444444444443,0.9955253924185735,0.9813333333333333,0.9972468519550735,0.000888888888888939,0.0017214595364999363
food,0.9844444444444443,0.9957244368434433,0.9846666666666667,0.9963217712387045,0.00022222222222234578,0.0005973343952612176
number,0.9735555555555555,0.9972068536627209,0.9786666666666667,0.997296205752845,0.005111111111111177,8.935209012417289e-05
color,0.9713333333333334,0.997399634928208,0.9766666666666667,0.9975557043060906,0.005333333333333301,0.000156069377882595
body_part,0.98,0.9985474909995999,0.9813333333333333,0.9985581581403618,0.0013333333333332975,1.0667140761810856e-05
person,0.9995555555555556,0.9999988144016996,0.9993333333333333,1.0,-0.00022222222222234578,1.1855983004238624e-06
question,1.0,1.0,1.0,1.0,0.0,0.0
